colNames	meaning
"""subject"""	subject number from original data source
"""activityDescriptive"""	descriptive label of activity from original data source
"""tBodyAcc-mean()-X"""	aggregated mean of  tBodyAcc-mean()-X by subject and activity
"""tBodyAcc-mean()-Y"""	aggregated mean of  tBodyAcc-mean()-Y by subject and activity
"""tBodyAcc-mean()-Z"""	aggregated mean of  tBodyAcc-mean()-Z by subject and activity
"""tGravityAcc-mean()-X"""	aggregated mean of  tGravityAcc-mean()-X by subject and activity
"""tGravityAcc-mean()-Y"""	aggregated mean of  tGravityAcc-mean()-Y by subject and activity
"""tGravityAcc-mean()-Z"""	aggregated mean of  tGravityAcc-mean()-Z by subject and activity
"""tBodyAccJerk-mean()-X"""	aggregated mean of  tBodyAccJerk-mean()-X by subject and activity
"""tBodyAccJerk-mean()-Y"""	aggregated mean of  tBodyAccJerk-mean()-Y by subject and activity
"""tBodyAccJerk-mean()-Z"""	aggregated mean of  tBodyAccJerk-mean()-Z by subject and activity
"""tBodyGyro-mean()-X"""	aggregated mean of  tBodyGyro-mean()-X by subject and activity
"""tBodyGyro-mean()-Y"""	aggregated mean of  tBodyGyro-mean()-Y by subject and activity
"""tBodyGyro-mean()-Z"""	aggregated mean of  tBodyGyro-mean()-Z by subject and activity
"""tBodyGyroJerk-mean()-X"""	aggregated mean of  tBodyGyroJerk-mean()-X by subject and activity
"""tBodyGyroJerk-mean()-Y"""	aggregated mean of  tBodyGyroJerk-mean()-Y by subject and activity
"""tBodyGyroJerk-mean()-Z"""	aggregated mean of  tBodyGyroJerk-mean()-Z by subject and activity
"""tBodyAccMag-mean()"""	aggregated mean of  tBodyAccMag-mean() by subject and activity
"""tGravityAccMag-mean()"""	aggregated mean of  tGravityAccMag-mean() by subject and activity
"""tBodyAccJerkMag-mean()"""	aggregated mean of  tBodyAccJerkMag-mean() by subject and activity
"""tBodyGyroMag-mean()"""	aggregated mean of  tBodyGyroMag-mean() by subject and activity
"""tBodyGyroJerkMag-mean()"""	aggregated mean of  tBodyGyroJerkMag-mean() by subject and activity
"""fBodyAcc-mean()-X"""	aggregated mean of  fBodyAcc-mean()-X by subject and activity
"""fBodyAcc-mean()-Y"""	aggregated mean of  fBodyAcc-mean()-Y by subject and activity
"""fBodyAcc-mean()-Z"""	aggregated mean of  fBodyAcc-mean()-Z by subject and activity
"""fBodyAcc-meanFreq()-X"""	aggregated mean of  fBodyAcc-meanFreq()-X by subject and activity
"""fBodyAcc-meanFreq()-Y"""	aggregated mean of  fBodyAcc-meanFreq()-Y by subject and activity
"""fBodyAcc-meanFreq()-Z"""	aggregated mean of  fBodyAcc-meanFreq()-Z by subject and activity
